642,1
643,1
644,1
645,4
646,4
647,4
648,4
649,4
650,2
651,2
652,0
653,2
654,2
655,2
656,0
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,0
666,2
667,2
668,2
669,0
670,2
671,2
672,2
673,2
674,2
675,3
676,3
677,3
678,3
679,0
680,0
681,0
682,4
683,4
684,4
685,4
686,4
687,4
688,1
689,1
690,1
691,1
692,1
693,1
694,1
695,0
696,3
697,3
698,3
699,3
700,3
701,3
702,3
703,3
704,2
705,2
706,2
707,2
708,1
709,1
710,1
711,3
712,3
713,3
714,3
715,2
716,2
717,2
718,2
719,2
720,1
721,2
722,2
723,2
724,2
725,2
726,2
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,0
736,0
737,0
738,0
739,0
740,0
741,1
742,1
743,1
744,1
745,1
746,1
747,1
748,1
749,1
750,2
751,2
752,2
753,2
754,2
755,2
756,2
757,2
758,2
759,2
760,1
761,1
762,1
763,2
764,2
765,2
766,2
767,1
768,1
769,1
770,1
771,1
772,2
773,2
774,2
775,2
776,2
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,3
790,3
791,3
792,3
793,3
794,3
795,3
796,3
797,3
798,3
799,3
800,3
801,3
802,3
803,3
804,3
805,3
806,4
807,4
808,4
809,4
810,4
811,4
812,4
813,4
814,4
815,4
816,4
817,4
818,4
819,4
820,4
821,4
822,4
823,4
824,4
825,4
826,4
827,4
828,4
829,4
830,4
831,4
832,4
833,4
834,4
835,3
836,3
837,3
838,3
839,0
840,0
841,0
842,0
843,0
844,5
845,5
846,5
847,5
848,5
849,5
850,5
851,5
852,5
853,5
854,5
855,5
856,5
857,5
858,5
859,5
860,5
861,5
862,5
863,5
864,5
865,5
866,5
867,5
868,5
869,5
870,5
871,5
872,5
873,5
874,5
875,5
876,5
877,5
878,5
879,5
880,5
881,5
882,5
883,5
884,3
885,3
886,3
887,0
888,0
889,0
